1_SmallDateTime,2_date,3_Time,4_DateTimeOffset,5_DateTime2,6_DateTime
5/1/2000 13:32,9/5/1966,01:01,1969-02-21 22:05:24.4778855 +00:00,5/1/2000 13:32,5/1/2000 13:32
11/18/2002 23:16,2/3/1959,01:01:01,1991-05-14 07:31:53.4171404 +00:00,11/18/2002 23:16,11/18/2002 23:16
7/2/2001 19:12,9/8/1978,01:01:01.1,2000-07-27 23:41:21.6418732 +00:00,7/2/2001 19:12,7/2/2001 19:12
8/17/1995 18:09,6/9/1995,01:01:01.11,1963-12-02 01:38:20.4629490 +00:00,8/17/1995 18:09,8/17/1995 18:09
10/7/1985 21:29,3/1/1989,01:01:01.111,1983-10-29 13:40:59.1305858 +00:00,10/7/1985 21:29,10/7/1985 21:29
8/25/1995 3:45,10/20/1976,01:01:01.1111,1962-12-07 06:35:25.2670995 +00:00,8/25/1995 3:45,8/25/1995 3:45
5/14/2005 0:48,6/22/1972,01:01:01.11111,1966-10-05 17:02:52.3701792 +00:00,5/14/2005 0:48,5/14/2005 0:48
5/18/1992 17:04,11/29/2004,01:01:01.111111,2005-02-04 00:44:15.8687982 +00:00,5/18/1992 17:04,5/18/1992 17:04
5/15/2007 10:11,7/28/1958,01:01:01.1111111,1972-03-06 08:00:55.4402411 +00:00,5/15/2007 10:11,5/15/2007 10:11
8/30/1987 21:38,5/2/1988,01:01,1973-11-24 05:04:19.4852771 +00:00,8/30/1987 21:38,8/30/1987 21:38
3/4/1988 0:48,7/30/1954,01:01:01,1980-08-12 15:21:26.1897502 +00:00,3/4/1988 0:48,3/4/1988 0:48
1/30/1993 18:15,8/23/1966,01:01:01.1,1997-07-08 14:00:20.1768334 +00:00,1/30/1993 18:15,1/30/1993 18:15
9/17/1997 13:43,8/10/1970,01:01:01.11,1991-03-23 17:03:54.9981238 +00:00,9/17/1997 13:43,9/17/1997 13:43
2/22/1993 5:29,6/9/2007,01:01:01.111,1954-09-01 04:30:33.0785648 +00:00,2/22/1993 5:29,2/22/1993 5:29
7/1/2007 11:30,7/8/1990,01:01:01.1111,1957-07-07 11:26:37.4348603 +00:00,7/1/2007 11:30,7/1/2007 11:30
11/6/1980 12:47,1/7/1989,01:01:01.11111,2002-09-18 05:39:04.9814296 +00:00,11/6/1980 12:47,11/6/1980 12:47
2/22/2004 14:20,7/20/1968,01:01:01.111111,1959-10-16 16:29:34.5779567 +00:00,2/22/2004 14:20,2/22/2004 14:20
11/13/2007 10:04,11/5/1986,01:01:01.1111111,2000-01-16 07:35:25.5549156 +00:00,11/13/2007 10:04,11/13/2007 10:04
12/16/1998 20:31,9/26/1991,01:01,1994-09-16 19:49:51.9768710 +00:00,12/16/1998 20:31,12/16/1998 20:31
10/22/1988 0:22,8/7/1991,01:01:01,1979-03-11 13:24:37.2954361 +00:00,10/22/1988 0:22,10/22/1988 0:22
11/14/2002 16:49,3/28/2005,01:01:01.1,1964-11-08 03:22:33.4992021 +00:00,11/14/2002 16:49,11/14/2002 16:49
9/29/2003 4:16,2/19/1958,01:01:01.11,1985-02-14 01:13:17.5961452 +00:00,9/29/2003 4:16,9/29/2003 4:16
,11/7/1961,01:01:01.111,1980-06-09 17:59:53.5559291 +00:00,,
10/9/2007 4:36,1/4/1974,01:01:01.1111,1957-06-09 06:35:07.6354107 +00:00,10/9/2007 4:36,10/9/2007 4:36
11/29/1980 15:00,11/20/1996,01:01:01.11111,2007-08-31 15:45:58.5575846 +00:00,11/29/1980 15:00,11/29/1980 15:00
8/6/1999 14:34,4/28/1962,01:01:01.111111,1978-01-26 07:42:11.5348501 +00:00,8/6/1999 14:34,8/6/1999 14:34
9/25/1994 18:46,8/28/1996,01:01:01.1111111,1981-03-25 22:18:10.1706548 +00:00,9/25/1994 18:46,9/25/1994 18:46
2/24/2006 6:36,11/24/1969,01:01,1983-01-20 10:10:22.6907320 +00:00,2/24/2006 6:36,2/24/2006 6:36
4/2/1999 14:31,4/7/1998,01:01:01,1973-08-25 18:04:17.4688007 +00:00,4/2/1999 14:31,4/2/1999 14:31
4/23/1995 17:38,10/3/2001,01:01:01.1,1980-05-06 00:42:59.8275289 +00:00,4/23/1995 17:38,4/23/1995 17:38
4/9/1982 10:19,8/7/1983,01:01:01.11,1969-03-16 18:59:20.5662352 +00:00,4/9/1982 10:19,4/9/1982 10:19
3/28/1985 12:51,6/2/1992,01:01:01.111,1966-05-25 03:24:00.8907217 +00:00,3/28/1985 12:51,3/28/1985 12:51
9/9/1992 17:22,6/18/1991,01:01:01.1111,1980-09-10 16:24:23.7846313 +00:00,9/9/1992 17:22,9/9/1992 17:22
4/26/1988 21:06,10/1/1953,01:01:01.11111,1956-07-04 15:50:01.0404777 +00:00,4/26/1988 21:06,4/26/1988 21:06
9/4/2007 20:23,7/21/2007,01:01:01.111111,1990-12-17 17:12:43.7419064 +00:00,9/4/2007 20:23,9/4/2007 20:23
12/29/1997 5:23,5/6/1997,01:01:01.1111111,2002-02-10 05:48:12.9820784 +00:00,12/29/1997 5:23,12/29/1997 5:23
5/12/2001 1:35,3/25/2000,01:01,1981-05-07 16:30:17.3502051 +00:00,5/12/2001 1:35,5/12/2001 1:35
11/6/1980 19:29,6/9/1956,01:01:01,1976-05-27 00:54:25.8030883 +00:00,11/6/1980 19:29,11/6/1980 19:29
9/1/1990 3:39,4/17/1981,01:01:01.1,2000-02-16 12:02:11.2576466 +00:00,9/1/1990 3:39,9/1/1990 3:39
8/9/1989 23:14,11/21/1981,01:01:01.11,1989-05-06 18:47:51.2397786 +00:00,8/9/1989 23:14,8/9/1989 23:14
10/21/2006 22:29,1/3/1968,01:01:01.111,1997-06-13 15:44:27.4311828 +00:00,10/21/2006 22:29,10/21/2006 22:29
2/21/1994 10:50,8/29/2007,01:01:01.1111,1983-03-21 16:22:16.3466582 +00:00,2/21/1994 10:50,2/21/1994 10:50
1/17/2000 12:50,1/4/1991,01:01:01.11111,1998-12-11 15:16:00.0300626 +00:00,1/17/2000 12:50,1/17/2000 12:50
5/1/1983 11:05,4/7/1974,01:01:01.111111,1986-09-17 04:41:56.8215472 +00:00,5/1/1983 11:05,5/1/1983 11:05
8/28/1987 7:33,11/20/1976,01:01:01.1111111,1979-11-19 15:27:01.6429701 +00:00,8/28/1987 7:33,8/28/1987 7:33
5/24/2005 23:37,2/23/1990,01:01,1977-01-06 16:47:32.5536432 +00:00,5/24/2005 23:37,5/24/2005 23:37
4/2/2002 6:33,4/4/1990,01:01:01,1972-09-05 14:49:17.8437413 +00:00,4/2/2002 6:33,4/2/2002 6:33
6/9/1989 19:14,1/4/1979,01:01:01.1,1980-09-23 23:53:23.3649353 +00:00,6/9/1989 19:14,6/9/1989 19:14
,6/13/1966,01:01:01.11,1977-03-12 09:29:04.9921200 +00:00,,
10/19/1992 10:01,6/10/1972,01:01:01.111,1986-12-24 04:59:00.3525480 +00:00,10/19/1992 10:01,10/19/1992 10:01
2/10/1984 10:23,12/11/1981,01:01:01.1111,1994-09-21 05:26:33.8707176 +00:00,2/10/1984 10:23,2/10/1984 10:23
3/13/1986 3:57,4/27/1962,01:01:01.11111,1956-11-23 17:25:22.7329620 +00:00,3/13/1986 3:57,3/13/1986 3:57
6/25/1991 9:49,1/24/1972,01:01:01.111111,1997-01-01 15:59:31.6088578 +00:00,6/25/1991 9:49,6/25/1991 9:49
2/14/2000 16:49,1/16/1991,01:01:01.1111111,1958-06-15 14:26:28.2031310 +00:00,2/14/2000 16:49,2/14/2000 16:49
5/9/1997 9:14,9/25/1974,01:01,1996-10-03 06:22:56.1620896 +00:00,5/9/1997 9:14,5/9/1997 9:14
8/29/1993 23:04,7/17/1961,01:01:01,1992-01-07 20:52:06.8817402 +00:00,8/29/1993 23:04,8/29/1993 23:04
6/16/1985 4:26,3/29/2005,01:01:01.1,1963-12-05 13:31:59.8612112 +00:00,6/16/1985 4:26,6/16/1985 4:26
8/2/2004 9:16,9/5/1957,01:01:01.11,1996-02-19 17:06:14.0064626 +00:00,8/2/2004 9:16,8/2/2004 9:16
2/9/2003 18:40,7/20/2006,01:01:01.111,1964-04-01 09:52:21.9053645 +00:00,2/9/2003 18:40,2/9/2003 18:40
8/3/2000 4:12,11/4/1979,01:01:01.1111,1958-10-04 05:58:47.5957356 +00:00,8/3/2000 4:12,8/3/2000 4:12
